iter	Passed	Remaining
443	1267	21567
444	1269	21560
445	1272	21548
446	1274	21541
447	1280	21578
448	1284	21595
449	1290	21644
450	1293	21650
451	1297	21666
452	1299	21655
453	1302	21641
454	1304	21627
455	1306	21614
456	1309	21605
457	1311	21596
458	1313	21583
459	1316	21571
460	1318	21558
461	1321	21556
462	1326	21597
463	1333	21656
464	1338	21682
465	1342	21705
466	1347	21731
467	1350	21730
468	1352	21720
469	1355	21710
470	1357	21704
471	1360	21692
472	1363	21689
473	1365	21680
474	1369	21702
475	1373	21709
476	1377	21717
477	1379	21707
478	1382	21705
479	1384	21697
480	1387	21691
481	1389	21680
482	1392	21666
483	1396	21679
484	1400	21695
485	1403	21703
486	1408	21723
487	1410	21714
488	1412	21701
489	1418	21736
490	1422	21753
491	1427	21776
492	1430	21783
493	1434	21789
494	1436	21778
495	1438	21766
496	1440	21752
497	1443	21740
498	1445	21728
499	1448	21722
500	1450	21711
501	1452	21700
502	1455	21692
503	1457	21680
504	1460	21678
505	1465	21711
506	1469	21722
507	1475	21753
508	1478	21760
509	1482	21765
510	1484	21756
511	1486	21743
512	1488	21730
513	1491	21721
514	1493	21708
515	1496	21702
516	1498	21691
517	1501	21680
518	1504	21686
519	1510	21732
520	1516	21762
521	1521	21789
522	1524	21795
523	1527	21798
524	1531	21811
525	1535	21813
526	1538	21816
527	1543	21842
528	1547	21849
529	1549	21845
530	1552	21843
531	1556	21852
532	1561	21871
533	1565	21883
534	1568	21888
535	1573	21906
536	1575	21898
537	1579	21901
538	1582	21908
539	1586	21913
540	1590	21932
541	1593	21921
542	1595	21911
543	1597	21898
544	1601	21902
545	1605	21913
546	1608	21910
547	1611	21913
548	1615	21921
549	1617	21915
550	1620	21911
551	1623	21898
552	1625	21887
553	1627	21875
554	1629	21862
555	1632	21852
556	1635	21852
557	1637	21844
558	1640	21835
559	1643	21829
560	1645	21824
561	1649	21829
562	1652	21822
563	1654	21811
564	1656	21797
565	1658	21784
566	1661	21776
567	1663	21771
568	1666	21764
569	1668	21754
570	1671	21741
571	1673	21727
572	1675	21716
573	1678	21710
574	1680	21701
575	1682	21689
576	1685	21682
577	1688	21686
578	1693	21700
579	1697	21721
580	1700	21714
581	1703	21707
582	1705	21698
583	1707	21687
584	1710	21681
585	1712	21672
586	1715	21661
587	1717	21651
588	1720	21644
589	1723	21647
590	1727	21651
591	1729	21641
592	1731	21630
593	1733	21619
594	1736	21609
595	1738	21599
596	1741	21596
597	1744	21587
598	1746	21582
599	1749	21574
600	1753	21582
601	1756	21580
602	1758	21573
603	1760	21563
604	1764	21562
605	1766	21553
606	1768	21542
607	1771	21540
608	1774	21531
609	1776	21520
610	1778	21509
611	1781	21506
612	1783	21497
613	1787	21501
614	1789	21492
615	1792	21487
616	1795	21479
617	1798	21477
618	1801	21480
619	1804	21474
620	1806	21469
621	1809	21458
622	1811	21449
623	1813	21439
624	1816	21437
625	1819	21434
626	1821	21424
627	1824	21415
628	1826	21404
629	1829	21400
630	1832	21401
631	1835	21393
632	1837	21386
633	1841	21397
634	1845	21407
635	1849	21412
636	1854	21432
637	1857	21434
638	1859	21425
639	1862	21419
640	1865	21411
641	1867	21403
642	1869	21395
643	1872	21386
644	1875	21388
645	1879	21399
646	1883	21404
647	1887	21418
648	1891	21424
649	1893	21414
650	1896	21404
651	1898	21392
652	1900	21382
653	1902	21371
654	1905	21370
655	1908	21361
656	1910	21352
657	1912	21341
658	1915	21336
659	1917	21327
660	1920	21327
661	1923	21317
662	1925	21307
663	1927	21297
664	1929	21285
665	1931	21274
666	1935	21278
667	1938	21273
668	1940	21264
669	1942	21253
670	1944	21243
671	1947	21233
672	1949	21227
673	1952	21223
674	1954	21214
675	1957	21207
676	1959	21199
677	1962	21191
678	1964	21181
679	1967	21180
680	1969	21171
681	1972	21164
682	1974	21154
683	1976	21143
684	1979	21136
685	1981	21127
686	1985	21130
687	1987	21121
688	1989	21110
689	1991	21098
690	1993	21087
691	1995	21078
692	1998	21072
693	2000	21065
694	2003	21056
695	2005	21044
696	2007	21036
697	2011	21039
698	2015	21046
699	2017	21039
700	2019	21029
701	2022	21023
702	2024	21015
703	2026	21006
704	2029	21000
705	2031	20990
706	2033	20981
707	2036	20972
708	2038	20962
709	2040	20953
710	2044	20956
711	2047	20956
712	2049	20946
713	2051	20936
714	2054	20937
715	2060	20959
716	2064	20967
717	2066	20960
718	2068	20950
719	2071	20943
720	2074	20941
721	2076	20932
722	2078	20921
723	2081	20914
724	2084	20916
725	2086	20909
726	2091	20925
727	2095	20929
728	2099	20937
729	2102	20935
730	2104	20930
731	2107	20923
732	2110	20920
733	2112	20913
734	2114	20903
735	2117	20898
736	2120	20895
737	2123	20892
738	2125	20882
739	2127	20875
740	2130	20867
741	2132	20859
742	2135	20856
743	2137	20849
744	2140	20840
745	2142	20832
746	2145	20828
747	2147	20821
748	2151	20826
749	2153	20818
750	2155	20810
751	2159	20809
752	2161	20802
753	2163	20794
754	2167	20798
755	2170	20798
756	2173	20792
757	2175	20785
758	2178	20781
759	2181	20780
760	2185	20789
761	2189	20799
762	2193	20803
763	2197	20816
764	2200	20809
765	2202	20803
766	2205	20796
767	2207	20789
768	2209	20780
769	2213	20780
770	2215	20771
771	2218	20766
772	2220	20757
773	2222	20749
774	2224	20741
775	2227	20737
776	2230	20732
777	2232	20724
778	2235	20720
779	2237	20715
780	2240	20709
781	2243	20707
782	2246	20706
783	2248	20698
784	2251	20693
785	2254	20691
786	2257	20690
787	2259	20684
788	2262	20679
789	2265	20674
790	2267	20665
791	2270	20659
792	2272	20657
793	2275	20651
794	2278	20647
795	2280	20640
796	2283	20634
797	2286	20634
798	2289	20633
799	2291	20626
800	2294	20622
801	2298	20626
802	2300	20620
803	2303	20617
804	2308	20628
805	2312	20642
806	2315	20639
807	2318	20636
808	2321	20631
809	2324	20633
810	2328	20638
811	2330	20628
812	2332	20620
813	2334	20612
814	2337	20603
815	2339	20592
816	2342	20592
817	2345	20595
818	2349	20598
819	2352	20598
820	2356	20601
821	2361	20621
822	2367	20642
823	2371	20655
824	2374	20647
825	2376	20640
826	2378	20631
827	2381	20623
828	2382	20612
829	2385	20603
830	2387	20599
831	2390	20591
832	2392	20585
833	2394	20575
834	2397	20570
835	2399	20565
836	2402	20563
837	2405	20555
838	2407	20547
839	2409	20539
840	2411	20530
841	2414	20528
842	2417	20526
843	2420	20518
844	2422	20510
845	2425	20508
846	2427	20500
847	2429	20492
848	2432	20489
849	2435	20482
850	2437	20474
851	2439	20467
852	2441	20457
853	2443	20450
854	2447	20449
855	2449	20442
856	2451	20433
857	2453	20424
858	2455	20415
859	2457	20406
860	2460	20399
861	2462	20393
862	2465	20387
863	2467	20380
864	2469	20372
865	2471	20363
866	2474	20357
867	2476	20352
868	2479	20346
869	2481	20339
870	2484	20331
871	2486	20323
872	2488	20315
873	2491	20316
874	2494	20308
875	2496	20302
876	2498	20294
877	2500	20285
878	2503	20280
879	2505	20272
880	2509	20275
881	2511	20268
882	2513	20261
883	2515	20252
884	2518	20245
885	2520	20236
886	2523	20233
887	2526	20231
888	2528	20225
889	2530	20218
890	2533	20210
891	2535	20202
892	2537	20196
893	2540	20189
894	2542	20181
895	2544	20173
896	2546	20167
897	2549	20162
898	2552	20163
899	2554	20155
900	2557	20149
901	2559	20141
902	2561	20134
903	2564	20127
904	2566	20121
905	2568	20115
906	2571	20107
907	2573	20098
908	2575	20092
909	2578	20086
910	2580	20083
911	2584	20085
912	2587	20081
913	2589	20075
914	2591	20068
915	2594	20061
916	2596	20053
917	2599	20050
918	2601	20043
919	2603	20035
920	2605	20029
921	2608	20024
922	2610	20016
923	2613	20012
924	2615	20007
